BGC0000609	s__Nocardia_sp_ATCC_202099
BGC0000610	s__Streptomyces_actuosus
BGC0000611	s__Streptomyces_sioyaensis
BGC0000612	s__Bacillus_cereus
BGC0000613	s__Nonomuraea_sp_Bp3714_39
BGC0000614	s__Streptomyces_laurentii
BGC0000615	s__Nocardiopsis_sp_TFS65_07
BGC0000616	s__Bacillus_velezensis
BGC0000617	s__Bacillus_coagulans
BGC0000618	s__Enterococcus_faecium
BGC0000619	s__Lactobacillus_gasseri
BGC0000620	s__Lactococcus_lactis
BGC0000621	s__Escherichia_coli
BGC0000622	s__Bacillus_megaterium
BGC0000623	s__Lactobacillus_plantarum
BGC0000624	s__Lactobacillus_salivarius
BGC0000625	s__Streptomyces_olivoviridis
BGC0000626	s__Bacillus_thuringiensis
BGC0000627	s__Aspergillus_flavus
BGC0000628	s__Lactobacillus_paragasseri
BGC0000629	s__Aspergillus_flavus
BGC0000630	s__Paracoccus_haeundaensis
BGC0000631	s__Botrytis_cinerea
BGC0000632	s__Nocardia_terpenica
BGC0000633	s__Streptomyces_avermitilis
BGC0000634	s__Brevundimonas_sp_SD212
BGC0000635	s__Paracoccus_sp_N81106
BGC0000636	s__Brevibacterium_linens
BGC0000637	s__Corynebacterium_glutamicum
BGC0000638	s__Pantoea_ananatis
BGC0000639	s__Enterobacteriaceae_bacterium
